DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Apr-25,EQ,915.35,944.95,909.15,912.55,943.5,941,931.34,"2,174.10",758,3691409,"3,43,79,57,335.55",85308
25-Apr-25,EQ,974,975.85,903.7,968.95,914.95,912.55,923.33,"2,174.10",758,6824718,"6,30,14,89,927.20",152696
24-Apr-25,EQ,956.9,974,948.75,952.5,971.45,968.95,962.06,"2,174.10",758,3604578,"3,46,78,31,424.15",82911
23-Apr-25,EQ,950,956.9,926,943.3,950.95,952.5,943.17,"2,174.10",758,2614789,"2,46,61,78,325.35",63000
22-Apr-25,EQ,962,965.5,941.55,956.25,944.45,943.3,953.91,"2,174.10",758,2283380,"2,17,81,27,710.35",56445
21-Apr-25,EQ,954.7,966.6,944,947.15,955.7,956.25,957.28,"2,174.10",758,2149379,"2,05,75,57,846.15",56177
17-Apr-25,EQ,945.6,972,940,945.6,946,947.15,955.07,"2,174.10",758,2905274,"2,77,47,51,047.60",68173
16-Apr-25,EQ,936.95,955.95,931.5,936.65,945.4,945.6,945.32,"2,174.10",758,2203548,"2,08,30,57,190.35",57276
15-Apr-25,EQ,910,942,901.3,893.65,936,936.65,927.45,"2,174.10",758,2944940,"2,73,12,86,784.25",77667
11-Apr-25,EQ,890,903.4,878.7,860.75,894.5,893.65,891.73,"2,174.10",758,2380909,"2,12,31,22,428.65",59439
09-Apr-25,EQ,874,878.95,850.5,875.8,860.4,860.75,859.57,"2,174.10",758,2518172,"2,16,45,37,413.40",62778
08-Apr-25,EQ,899,908.1,873.3,873.3,877,875.8,885.4,"2,174.10",758,3363547,"2,97,80,86,200.80",72754
07-Apr-25,EQ,850,891.95,850,923.8,878,873.3,869.1,"2,174.10",758,3317613,"2,88,33,48,709.85",92398
04-Apr-25,EQ,949.95,956,917.65,955.3,925.5,923.8,933.14,"2,174.10",758,3226540,"3,01,08,22,781.95",83956
03-Apr-25,EQ,927,966.5,927,943.05,955.3,955.3,950.67,"2,174.10",758,3305378,"3,14,23,22,451.10",77033
02-Apr-25,EQ,926.9,945.1,910.7,919.15,941.8,943.05,931.05,"2,174.10",758,2965379,"2,76,09,14,764.15",84509
01-Apr-25,EQ,948,962,916.65,948.65,923,919.15,932.82,"2,174.10",758,3393666,"3,16,56,67,424.40",75539
28-Mar-25,EQ,967.85,976.45,942.05,959.9,948,948.65,959.8,"2,174.10",758,4083088,"3,91,89,31,528.25",90367
27-Mar-25,EQ,910,966.6,905.2,912.1,958,959.9,941.65,"2,174.10",758,5918219,"5,57,28,64,238.75",114942
26-Mar-25,EQ,921.95,942,910,923.4,912,912.1,923.95,"2,174.10",758,3194761,"2,95,18,12,953.85",68042
25-Mar-25,EQ,959,966,916,952.9,918,923.4,941.97,"2,174.10",758,3504686,"3,30,13,09,638.55",86827
24-Mar-25,EQ,972,981,949.05,954.25,952,952.9,961.24,"2,174.10",758,3632791,"3,49,19,71,910.15",82594
21-Mar-25,EQ,925,983.35,920.55,923.4,957,954.25,957.76,"2,174.10",758,8147557,"7,80,34,13,714.15",169547
20-Mar-25,EQ,920.3,927.95,902.05,911.2,921.6,923.4,915.92,"2,174.10",758,3210117,"2,94,02,00,173.90",68499
19-Mar-25,EQ,904.05,918.75,901.4,900.9,908.7,911.2,912.49,"2,174.10",758,2980425,"2,71,96,04,014.05",63758
18-Mar-25,EQ,904.7,911.9,889.1,896.45,901,900.9,901.65,"2,174.10",758,4222109,"3,80,68,67,447.15",92532
17-Mar-25,EQ,873.65,908.45,868.85,873.65,896,896.45,895.06,"2,174.10",758,5903492,"5,28,39,95,006.80",130474
